sira,isim,gelirler,gelir_yüzde_degisim,karlar,kar_yuzde_degisim,varliklar,piyasa_degeri,sira_degisikligi,calısanlar
42,State Farm Insurance,82224.7,0.042,1280.9,-0.657,325349.3,,-3.0,53586.0
43,Pfizer,81288.0,0.94,21979.0,1.286,181476.0,292385.3,34.0,79000.0
44,Citigroup,79865.0,-0.1009999999999999,21952.0,0.987,2291413.0,105330.1,-11.0,221768.0
45,PepsiCo,79474.0,0.129,7618.0,0.07,92377.0,231528.2,-1.0,309000.0
46,Intel,79024.0,0.015,19868.0,-0.049,168406.0,202635.8,-6.0,121100.0
47,Procter & Gamble,76118.0,0.073,14306.0,0.098,119307.0,366271.6,-4.0,101000.0
49,IBM,72344.0,-0.017,5743.0,0.027,132001.0,116928.3,-7.0,297800.0
50,MetLife,71080.0,0.048,6554.0,0.212,759708.0,57986.5,-4.0,43000.0
51,Prudential Financial,70934.0,0.244,7724.0,,937582.0,44482.2,4.0,40916.0
52,Albertsons,69690.4,0.1159999999999999,850.2,0.823,26598.0,16063.7,-1.3963636363636365,300000.0
53,Walt Disney,67418.0,0.031,1995.0,,203609.0,249718.1,-3.0,171000.0
54,Energy Transfer,67417.0,0.731,5470.0,,105963.0,34496.9,27.0,12558.0
55,Lockheed Martin,67044.0,0.025,6315.0,-0.076,50873.0,117648.2,-6.0,114000.0
56,Freddie Mac,65898.0,-0.005,12109.0,0.653,3025586.0,510.3,-9.0,7301.0
57,Goldman Sachs Group,64989.0,0.215,21635.0,1.287,1463988.0,117667.6,2.0,43900.0
58,Raytheon Technologies,64388.0,0.138,3864.0,,161404.0,147640.9,-1.0,174000.0
59,HP,63487.0,0.121,6503.0,1.287,38610.0,38237.2,-3.0,51000.0
61,Morgan Stanley,61121.0,0.174,15034.0,0.367,1188140.0,155685.6,-1.3963636363636365,74814.0
62,HCA Healthcare,58752.0,0.14,6956.0,0.853,50742.0,75691.9,-1.3963636363636365,244000.0
63,AbbVie,56197.0,0.2269999999999999,11542.0,1.5,146529.0,286332.4,5.0,50000.0
64,Dow,54968.0,0.426,6311.0,4.152,62990.0,46839.7,18.0,35700.0
65,Tesla,53823.0,0.7070000000000001,5519.0,6.655,62131.0,1113707.8,35.0,99290.0
66,Allstate,53228.0,0.188,1599.0,-0.713,99440.0,38553.7,4.0,54500.0
67,AIG,52057.0,0.19,9388.0,,596112.0,50608.2,5.0,36600.0
68,Best Buy,51761.0,0.095,2454.0,0.365,17504.0,20473.2,-2.0,81375.0
69,Charter Communications,51682.0,0.075,4654.0,0.444,142491.0,112803.4,-5.0,93700.0
70,Sysco,51297.8,-0.03,524.2,1.433,21413.5,41433.1,-10.0,57710.0
71,Merck,51216.0,0.067,13049.0,0.846,105694.0,207400.5,-6.0,67500.0
72,New York Life Insurance,51198.5,0.096,277.1,,379984.6,,-5.0,14344.0
